Notes,Mood,Feeling
"Felt uncertain about which direction to take on a big decision.","Uncertain","not good"
"Enjoyed the way the air smelled after the rain passed.","Content","good"
"Noticed a wave of sadness without any clear reason today.","Sad","not good"
"Had a quick walk between classes that helped reset my mind.","Refreshed","good"
"Felt like I was on the outside of every inside joke.","Excluded","not good"
"Appreciated how the campus looked in the soft evening light.","Pleased","good"
"Spent time worrying about a future conversation that has not even happened.","Apprehensive","not good"
"Was able to focus deeply on one task for a solid block of time.","Focused","good"
"Felt stuck in a loop of second-guessing every little choice.","Indecisive","not good"
"Had a restful moment sitting on a bench and doing nothing at all.","Serene","good"
"Felt like my concerns were brushed aside when I tried to share them.","Invalidated","not good"
"Listened to a podcast that gave me new ideas about my project.","Inspired","good"
"Carried around a dull, heavy feeling that would not lift.","Morose","not good"
"Checked several things off my list and felt a calm sense of progress.","Stable","good"
"Felt uneasy about how quickly time seems to be passing this term.","Uneasy","not good"
"Received a supportive message that helped me keep going.","Supported","good"
"Found myself replaying a criticism long after everyone else moved on.","Dysregulated","not good"
"Had a cozy evening under a blanket with a warm drink.","Comfortable","good"
"Felt like I was failing even though there was no concrete evidence of it.","Worthless","not good"
"Got through a difficult reading and actually followed the main argument.","Engrossed","good"
"Felt my attention scattered by constant notifications throughout the day.","Frazzled","not good"
"Enjoyed a relaxed group study session where everyone contributed a bit.","Collaborative","good"
"Felt off-balance after receiving mixed feedback on my work.","Conflicted","not good"
"Noticed that breathing exercises helped calm me down between tasks.","Grounded","good"
"Stayed in bed scrolling instead of starting the day with intention.","Lazy","not good"
"Had a good laugh over a small mistake that turned into an inside joke.","Goofy","good"
"Felt strangely distant from my own work, like I was watching someone else do it.","Detached","not good"
"Received a kind check-in from a friend I had not spoken to in a while.","Touched","good"
"Spent part of the afternoon worrying about things outside my control.","Troubled","not good"
"Felt pleasantly absorbed in writing without noticing the time go by.","Engrossed","good"
"Felt like every small inconvenience added up to a much heavier weight.","Burdened","not good"
"Appreciated the quiet hum of the library while I worked.","Present","good"
"Felt an old insecurity return when a familiar situation came up.","Insecure","not good"
"Had a smooth, easy conversation that flowed without effort.","Chill","good"
"Felt my chest tighten each time I thought about the upcoming exam.","Nervous","not good"
"Watched the trees sway in the wind and felt unexpectedly peaceful.","Tranquil","good"
"Felt like my schedule was running me instead of the other way around.","Rushed","not good"
"Got helpful feedback that made the next steps much clearer.","Encouraged","good"
"Felt like people were talking around me rather than with me.","Alienated","not good"
"Enjoyed the sense of closure that came with finishing a small project.","Satisfied","good"
"Carried a quiet sense of longing for something I could not name.","Longing","not good"
"Had fun experimenting with a new tool just to see what it could do.","Playful","good"
"Felt like I was always a step behind no matter how hard I tried.","Defeated","not good"
"Got absorbed in a problem and enjoyed thinking through different approaches.","Curious","good"
"Felt myself shutting down emotionally during a difficult conversation.","Shutdown","not good"
"Appreciated a moment of stillness in an otherwise busy day.","Calm","good"
"Felt an ache of missing people I have not seen in a long time.","Lonely","not good"
"Found joy in making a simple meal from scratch.","Content","good"
"Felt overwhelmed by the sheer number of open tabs and unfinished tasks.","Overwhelmed","not good"
"Had a soft, quiet afternoon that felt restorative.","Rejuvenated","good"
"Felt drained after back-to-back meetings with no real breaks.","Exhausted","not good"
"Enjoyed the sense of rhythm while working through a to-do list slowly.","Steady","good"
"Felt uneasy about how much I still have to learn in my field.","Inadequate","not good"
"Noticed how nice it felt to be genuinely listened to during a chat.","Heard","good"
"Felt like my mind kept drifting away from whatever was in front of me.","Unfocused","not good"
"Had a gentle stretch session that loosened up some tension.","Relaxed","good"
"Felt a familiar knot of fear when I opened my grade report.","Afraid","not good"
"Got to share something I made and felt proud seeing the reaction.","Proud","good"
"Felt like I was spinning my wheels without making actual progress.","Stuck","not good"
"Enjoyed a simple walk without headphones, just listening to everyday sounds.","Present","good"
"Felt distant from friends today even when we were in the same room.","Disconnected","not good"
"Appreciated a brief moment of sunshine between grey clouds.","Glad","good"
"Felt overly critical of myself for small mistakes.","Self-critical","not good"
"Had a nicely paced study session with regular breaks that kept me fresh.","Balanced","good"
"Felt disheartened when my effort did not show up in the results.","Disheartened","not good"
"Enjoyed helping someone troubleshoot a problem they were stuck on.","Helpful","good"
"Felt uneasy about expressing my real opinion in the group chat.","Hesitant","not good"
"Got into a good flow while writing and did not check my phone for a while.","Focused","good"
"Felt like my thoughts were muddled and hard to organize.","Dazed","not good"
"Appreciated the way my planner looked after updating it with color-coded tasks.","Organized","good"
"Felt like my questions were brushed aside without much consideration.","Dismissed","not good"
"Had a warm, unhurried call with family that filled me up emotionally.","Loved","good"
"Felt weighed down by a general sense of pointlessness this afternoon.","Pessimistic","not good"
"Smiled at a small act of kindness from a stranger today.","Thankful","good"
"Felt tense all day waiting for news about an application.","Tense","not good"
"Enjoyed the sense of competence that came from helping a peer understand a topic.","Competent","good"
"Felt like my energy disappeared halfway through the day.","Drained","not good"
"Had a relaxed evening sketching out ideas with no pressure to finish anything.","Creative","good"
"Felt irritated by small noises more than usual.","Irritated","not good"
"Appreciated that I could ask for help without feeling judged.","Safe","good"
"Felt anxious that people might be disappointed in me.","Apprehensive","not good"
"Had a gently productive day where tasks moved along without much friction.","Smooth","good"
"Felt stuck in my head replaying hypothetical worst-case scenarios.","Worried","not good"
"Got positive feedback on a draft that I had doubted.","Relieved","good"
"Felt like everyone else had it together while I was floundering.","Inferior","not good"
"Enjoyed a brief moment of laughter that cut through the tension.","Amused","good"
"Felt like I could not fully show up as myself today.","Constrained","not good"
"Had a light, easy conversation that reminded me friendships can be simple.","Connected","good"
"Felt the weight of responsibilities piling up faster than I can handle.","Burdened","not good"
"Appreciated the familiarity of my study spot and its small comforts.","Comfortable","good"
"Felt detached from my usual interests and hobbies.","Indifferent","not good"
"Had a nice sense of closure after turning in a long-term assignment.","Relieved","good"
"Felt uneasy sharing my work, worried it might not be good enough.","Nervous","not good"
"Enjoyed tinkering with code just to see what would happen.","Playful","good"
"Felt like time slipped away and I barely remember what I did.","Absent","not good"
"Appreciated a moment when someone thanked me for something small I did.","Valued","good"
"Felt my motivation dip sharply halfway through my tasks.","Unmotivated","not good"
"Had a pleasant surprise when a problem turned out easier than expected.","Surprised","good"
"Felt guilty for taking a break even though I needed it.","Guilty","not good"
"Appreciated being able to move at my own pace for once.","Unbothered","good"
"Felt tense and jumpy whenever my phone buzzed today.","Jittery","not good"
"Enjoyed listening to gentle music while studying this evening.","Mellow","good"
"Felt ignored when I tried to share an idea and no one responded.","Ignored","not good"
"Had a moment where I felt truly present in what I was doing.","Present","good"
"Felt like I was bracing for criticism that never actually came.","On Edge","not good"
"Appreciated the sense of routine in my morning rituals.","Stable","good"
"Felt resentful about how much I had to juggle today.","Resentful","not good"
"Enjoyed solving a tricky bug that had stumped me for days.","Accomplished","good"
"Felt a weight in my chest that is hard to describe.","Heavy","not good"
"Had a calm check-in with myself and noticed small bits of progress.","Content","good"
"Felt discouraged when my effort did not match the outcome.","Discouraged","not good"
"Appreciated a short break outside between long stretches of work.","Refreshed","good"
"Felt nervous to speak up, even when I had something to add.","Hesitant","not good"
"Had a smooth day where things unfolded without major issues.","At Ease","good"
"Felt like my thoughts were scattered in too many directions.","Scattered","not good"
"Enjoyed finishing a task and closing the tab for good.","Satisfied","good"
"Felt like everyone else was moving on while I stayed in place.","Left Behind","not good"
"Had a small sense of pride seeing my notes organized neatly.","Proud","good"
"Felt uncomfortable with how quiet things were, like something was missing.","Uncomfortable","not good"
"Appreciated a funny meme that brightened up a long afternoon.","Amused","good"
"Felt my social battery drain quickly in a crowded space.","Overstimulated","not good"
"Enjoyed a peaceful ride on the bus just watching the scenery.","Peaceful","good"
"Felt uneasy that I might be forgetting something important.","Uneasy","not good"
"Had a nice moment of flow where work did not feel like a struggle.","Engaged","good"
"Felt disorganized inside, even if my surroundings looked tidy.","Disjointed","not good"
"Appreciated a soft blanket and a cup of tea after a long day.","Comfortable","good"
"Felt oddly detached from my usual sense of humor today.","Off","not good"
"Had genuine fun brainstorming ideas with classmates.","Enthusiastic","good"
"Felt bad about turning down an invite even though I was exhausted.","Regretful","not good"
"Enjoyed the way everything looked after tidying my space.","Pleased","good"
"Felt tense each time someone asked how my work was going.","Tense","not good"
"Had a moment of clarity about what matters most this week.","Clear","good"
"Felt my mood dip sharply after scrolling through the news.","Disheartened","not good"
"Appreciated being able to say no to something without over-explaining.","Empowered","good"
"Felt restless and unable to settle into any one activity.","Restless","not good"
"Had a small spark of excitement about a new idea for a project.","Excited","good"
"Felt like my words were stuck somewhere between my brain and my mouth.","Blocked","not good"
"Enjoyed checking off small tasks that had been lingering for days.","Productive","good"
"Felt uneasy seeing how full my calendar has become.","Anxious","not good"
"Had a gentle, unhurried conversation that left me feeling warm.","Affectionate","good"
"Felt like I was floating outside myself watching the day go by.","Detached","not good"
"Appreciated how good it felt to stretch after sitting for too long.","Relieved","good"
"Felt overwhelmed by noise and stimulation in shared spaces today.","Overwhelmed","not good"
"Enjoyed noticing small details on a familiar walk I usually ignore.","Mindful","good"
"Felt guilty for not responding to messages right away.","Guilty","not good"
"Had a sweet moment of shared understanding with someone I care about.","Connected","good"
"Felt stuck between options and did not move forward on either.","Indecisive","not good"
"Appreciated the rhythm of typing while my thoughts came together.","Focused","good"
"Felt nervous about the future but also a little hopeful.","Nervous","not good"
"Had a calm moment realizing I do not have to figure everything out at once.","Calm","good"
"Felt the weight of expectations pressing down on me today.","Pressured","not good"
"Enjoyed the feeling of finishing up my tasks before bedtime.","Satisfied","good"
"Felt like my energy and motivation were out of sync with my schedule.","Unaligned","not good"
